code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal
DE-BW	8192158	5353731	3000609
DE-BY	9459403	6034163	3599168
DE-BE	2720734	1812669	960877
DE-BB	1809392	1202726	654901
DE-HB	557089	372887	200241
DE-HH	1310534	850648	492332
DE-HE	4567990	3060028	1593681
DE-MV	1261628	809668	477234
DE-NI	5939072	3992638	2141763
DE-NW	14078184	9237901	5205388
DE-RP	3026505	1990757	1097456
DE-SL	828574	518348	326222
DE-SN	2884682	1786412	1148165
DE-ST	1575530	1024212	596861
DE-SH	2288079	1512364	827121
DE-TH	1557258	1004069	577777
