code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal
DE-BB	2787973	1488830	1386297
DE-BE	4461838	2372890	2186041
DE-BUND	358302	187131	176396
DE-BW	13163963	6929374	6593087
DE-BY	15433324	8134070	7671151
DE-HB	951937	509031	478219
DE-HE	7559681	4061852	3693163
DE-HH	2345499	1261299	1153711
DE-MV	1919527	1015883	953941
DE-NI	9972056	5396670	4927530
DE-NW	22992736	12378893	11280170
DE-RP	5048957	2712019	2466769
DE-SH	3781148	2031455	1863539
DE-SL	1313807	701765	649043
DE-SN	4238596	2229855	2094297
DE-ST	2485077	1320429	1251701
DE-TH	2352662	1234274	1177169
