code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal
DE-BW	8374011	5427762	3117954
DE-BY	9663094	6110101	3737935
DE-BE	2775563	1835062	996174
DE-BB	1844981	1218220	677165
DE-HB	567177	378476	205182
DE-HH	1335686	861423	508271
DE-HE	4670476	3094132	1666970
DE-MV	1289628	819308	496597
DE-NI	6075256	4042848	2237209
DE-NW	14415384	9342774	5458744
DE-RP	3105901	2028062	1144819
DE-SL	845796	523335	339441
DE-SN	2934540	1804391	1182178
DE-ST	1607157	1036942	617866
DE-SH	2348949	1541367	862488
DE-TH	1584920	1014457	596338
