code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal
DE-BW	8072050	5306330	2922750
DE-BY	9460419	6119140	3507414
DE-BE	2677206	1794371	933754
DE-BB	1780342	1190383	635842
DE-HB	548274	368018	195956
DE-HH	1288781	842534	477032
DE-HE	4491469	3034905	1537730
DE-MV	1238729	802472	460513
DE-NI	5831693	3951747	2068215
DE-NW	13866510	9163373	5048970
DE-RP	2985754	1972410	1073286
DE-SL	813793	514349	314408
DE-SN	2845327	1772111	1121006
DE-ST	1546915	1013686	577372
DE-SH	2244754	1492832	799372
DE-TH	1534886	996109	562440
