code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal
DE-BW	11937966	6586787	5644938
DE-BY	13707957	7733626	6285130
DE-BE	3951969	2215044	1820348
DE-BB	2522002	1398094	1197301
DE-HB	846034	477394	396957
DE-HH	1974367	1158940	869997
DE-HE	6771487	3822956	3113291
DE-MV	1724381	954832	810128
DE-NI	8800122	5120888	3979237
DE-NW	20355676	11560309	9371322
DE-RP	4518905	2558637	2072610
DE-SL	1165664	660361	533343
DE-SN	3913097	2107783	1879045
DE-ST	2248161	1248397	1070952
DE-SH	3328426	1886207	1536314
DE-TH	2183196	1178824	1049992
