code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal	peopleBoosterTotal
DE-BB	4857085	1720492	1628971	1392837
DE-BE	8173372	2888425	2752526	2294247
DE-BUND	534973	201940	189517	142471
DE-BW	23622727	8395037	7991848	6724578
DE-BY	27752971	9893032	9583521	7687794
DE-HB	1722773	619689	579634	447873
DE-HE	13692184	4924742	4568093	3782088
DE-HH	4464971	1603477	1496938	1212009
DE-MV	3442447	1217093	1159984	956093
DE-NI	18433525	6393912	5936053	5314169
DE-NW	41751239	14635970	13657758	11663377
DE-RP	9102512	3236279	2979159	2580033
DE-SH	7046291	2353303	2249420	2028383
DE-SL	2348506	822095	774154	675315
DE-SN	7341241	2676007	2550092	2010906
DE-ST	4488061	1617667	1532936	1243602
DE-TH	4129990	1506345	1429028	1126606
