code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal
DE-BW	12593218	6718315	6193178
DE-BY	14584903	7890039	7028587
DE-BE	4179797	2279764	1988596
DE-BB	2640501	1429408	1289174
DE-HB	898203	488092	441117
DE-HH	2128975	1204585	982948
DE-HE	7119905	3917201	3380101
DE-MV	1814315	975857	882336
DE-NI	9318256	5224800	4412976
DE-NW	21466786	11835008	10240357
DE-RP	4769330	2612096	2274498
DE-SL	1233382	678504	586858
DE-SN	4065906	2154561	1990332
DE-ST	2358071	1273769	1160982
DE-SH	3539184	1943242	1697125
DE-TH	2269711	1199314	1121409
