code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal	peopleBoosterTotal
DE-BB	4858897	1720558	1629078	1393332
DE-BE	8177521	2888573	2752746	2295541
DE-BUND	535007	201940	189518	142482
DE-BW	23628885	8395258	7992121	6725704
DE-BY	27761337	9893253	9583833	7689338
DE-HB	1723827	619723	579685	448059
DE-HE	13698038	4924955	4568419	3783241
DE-HH	4466627	1603504	1497015	1212396
DE-MV	3443448	1217128	1160044	956295
DE-NI	18442418	6394089	5936371	5315419
DE-NW	41769462	14636468	13658424	11665825
DE-RP	9105539	3236388	2979274	2580525
DE-SH	7048921	2353342	2249478	2028777
DE-SL	2349364	822108	774186	675457
DE-SN	7342950	2676053	2550230	2011451
DE-ST	4489915	1617713	1533046	1244167
DE-TH	4130744	1506368	1429067	1126809
