code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal	peopleBoosterTotal
DE-BB	4825866	1760946	1644436	1330879
DE-BE	8091060	2908874	2765045	2232763
DE-BUND	533864	201894	189445	141847
DE-BW	23095238	8344520	7932134	6399138
DE-BY	27290278	9845393	9523835	7448864
DE-HB	1693007	617428	576938	439668
DE-HE	13329693	4884119	4531470	3594809
DE-HH	4346197	1599925	1488738	1136941
DE-MV	3380328	1212068	1154936	929550
DE-NI	18046414	6366531	5899777	5148474
DE-NW	40830812	14617685	13606757	11167707
DE-RP	8860661	3211205	2957184	2445484
DE-SH	6944421	2352825	2247736	2120948
DE-SL	2309712	818804	770889	655871
DE-SN	7273028	2669535	2543717	1979857
DE-ST	4414107	1608939	1529125	1205077
DE-TH	4080053	1499557	1421411	1105455
