code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal
DE-BB	3025440	1582573	1517942
DE-BE	4955446	2522215	2425262
DE-BUND	371083	193418	185292
DE-BW	14318343	7365824	7152362
DE-BY	16858623	8679184	8410728
DE-HB	1052824	549176	527691
DE-HE	8325718	4334382	4110161
DE-HH	2619092	1362921	1314791
DE-MV	2079569	1076626	1041258
DE-NI	10879209	5734281	5452477
DE-NW	25291503	13186015	12484457
DE-RP	5537993	2899061	2708363
DE-SH	4164803	2142419	2067364
DE-SL	1432366	742387	716325
DE-SN	4610800	2382101	2285678
DE-ST	2709812	1405140	1367157
DE-TH	2552674	1310571	1277919
