code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal
DE-BB	3077153	1595036	1538096
DE-BE	5077910	2547989	2463393
DE-BUND	372003	193658	185684
DE-BW	14504347	7411641	7222498
DE-BY	17140313	8744663	8513069
DE-HB	1072005	552530	533874
DE-HE	8461484	4362632	4158928
DE-HH	2676220	1377457	1337086
DE-MV	2111425	1084207	1051661
DE-NI	11046604	5760517	5502829
DE-NW	25668421	13257960	12616188
DE-RP	5616753	2913881	2737559
DE-SH	4235382	2156492	2086022
DE-SL	1450350	745894	722203
DE-SN	4678533	2397571	2309567
DE-ST	2743702	1413556	1379470
DE-TH	2597758	1320303	1290178
