code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal
DE-BB	2807977	1498718	1397738
DE-BE	4515421	2391981	2222315
DE-BUND	358822	187252	176803
DE-BW	13258070	6977034	6647201
DE-BY	15560888	8192937	7748036
DE-HB	960211	513777	482583
DE-HE	7650260	4095191	3754385
DE-HH	2393875	1275563	1190249
DE-MV	1931542	1021546	960991
DE-NI	10095489	5447314	5008058
DE-NW	23240965	12512305	11404065
DE-RP	5103897	2735465	2500607
DE-SH	3811250	2044435	1881810
DE-SL	1328491	706711	659656
DE-SN	4275659	2248564	2113672
DE-ST	2507264	1330788	1264796
DE-TH	2368888	1242661	1187486
