code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal
DE-BW	5161523	3974084	1187439
DE-BY	6246422	4909550	1336872
DE-BE	1672408	1221514	450894
DE-BB	1102159	805519	296640
DE-HB	352129	256004	96125
DE-HH	841256	658609	182647
DE-HE	2909100	2293772	615328
DE-MV	791149	624563	166586
DE-NI	3770567	3017154	753413
DE-NW	8714530	6927138	1787392
DE-RP	1952233	1430386	521847
DE-SL	516287	404975	111312
DE-SN	1875928	1280419	595509
DE-ST	1017150	773738	243412
DE-SH	1370446	989653	380793
DE-TH	1030445	709837	320608
