code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal	peopleBoosterTotal
DE-BB	4690678	1756207	1745022	1302466
DE-BE	7704956	2844224	2819793	2171561
DE-BUND	530575	201980	194924	141815
DE-BW	22256666	8208264	8225683	6304841
DE-BY	26367913	9721709	9813714	7338000
DE-HB	1608766	613980	605652	437401
DE-HE	12797625	4828062	4688699	3533086
DE-HH	4069530	1538717	1536412	1103174
DE-MV	3236631	1196956	1196889	908923
DE-NI	17094669	6276962	6207898	5044899
DE-NW	38670793	14411230	14141615	10938679
DE-RP	8486581	3177816	3076387	2399979
DE-SH	6637696	2341566	2348540	2082725
DE-SL	2216294	811143	808721	646024
DE-SN	7097641	2651142	2613745	1934440
DE-ST	4229188	1568690	1593951	1174750
DE-TH	3970599	1487754	1487857	1089637
