code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal	peopleBoosterTotal
DE-BB	4574731	1746460	1718612	1222442
DE-BE	7543455	2828001	2781285	2064425
DE-BUND	524864	201478	194081	137446
DE-BW	21855448	8166234	8113452	6056501
DE-BY	25838125	9672736	9675498	6994812
DE-HB	1576131	609733	595874	418635
DE-HE	12492262	4800246	4612594	3331270
DE-HH	3887045	1509122	1487928	998081
DE-MV	3160913	1190060	1178439	858408
DE-NI	16672855	6236160	6102237	4768410
DE-NW	37798684	14329774	13944383	10342518
DE-RP	8289849	3156703	3027069	2273141
DE-SH	6353965	2328957	2308594	1851308
DE-SL	2173129	807507	797579	617544
DE-SN	6927138	2635605	2573216	1819886
DE-ST	4120648	1559700	1568018	1101085
DE-TH	3880420	1478058	1464285	1032470
