code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal	peopleBoosterTotal
DE-BB	4711013	1757964	1748976	1317119
DE-BE	7740035	2847502	2826875	2196317
DE-BUND	531408	202053	195032	142467
DE-BW	22333563	8217802	8245051	6352974
DE-BY	26464296	9730988	9833688	7405202
DE-HB	1616160	614793	607247	442407
DE-HE	12858063	4834450	4700205	3575666
DE-HH	4091504	1540754	1540667	1118901
DE-MV	3253180	1198395	1200404	920543
DE-NI	17165320	6283861	6223785	5092835
DE-NW	38833096	14429160	14173739	11051549
DE-RP	8519719	3181248	3084111	2422032
DE-SH	6662869	2343614	2353409	2101001
DE-SL	2223581	811754	810164	651263
DE-SN	7133287	2654271	2620699	1960043
DE-ST	4249647	1570376	1598483	1189015
DE-TH	3987401	1489301	1491690	1101075
