code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal
DE-BW	10490622	6282551	4454180
DE-BY	12235653	7302642	5197469
DE-BE	3455415	2083747	1447078
DE-BB	2215437	1349186	933426
DE-HB	716890	452797	286620
DE-HH	1730132	1053668	724605
DE-HE	5904841	3561041	2481651
DE-MV	1563551	916603	682610
DE-NI	7603877	4763724	3101964
DE-NW	18253713	10841805	7935174
DE-RP	3925706	2399122	1626994
DE-SL	1032962	607562	450322
DE-SN	3501508	1999064	1567226
DE-ST	1983741	1184216	859715
DE-SH	2921410	1773694	1226040
DE-TH	1921779	1133753	826246
