code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal	peopleBoosterTotal
DE-BB	4874337	1721004	1629757	1396573
DE-BE	8216782	2890762	2755523	2303945
DE-BUND	535438	201947	189544	142702
DE-BW	23711373	8398873	7996563	6739746
DE-BY	27875292	9895874	9588639	7708240
DE-HB	1734359	619971	580152	449539
DE-HE	13760786	4926902	4571330	3793010
DE-HH	4484519	1604193	1498154	1215792
DE-MV	3453269	1217402	1160512	958080
DE-NI	18530558	6395616	5939066	5326303
DE-NW	41932498	14639502	13663037	11686659
DE-RP	9142361	3237291	2980426	2585578
DE-SH	7082286	2353839	2250197	2032200
DE-SL	2358891	822236	774469	676638
DE-SN	7360794	2676710	2551391	2016062
DE-ST	4505954	1618075	1533811	1248018
DE-TH	4143044	1506841	1429784	1129956
