code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal
DE-BW	8665855	5558608	3296701
DE-BY	9981651	6237790	3948221
DE-BE	2862006	1872530	1049905
DE-BB	1909468	1247453	716870
DE-HB	583359	387963	212651
DE-HH	1385016	882754	539274
DE-HE	4823885	3149533	1775354
DE-MV	1337365	836092	530389
DE-NI	6289350	4120317	2388707
DE-NW	14865945	9509047	5780775
DE-RP	3207701	2077729	1203951
DE-SL	873537	532185	360434
DE-SN	3015347	1833824	1237109
DE-ST	1668191	1062955	656743
DE-SH	2418733	1571860	906323
DE-TH	1627349	1032200	623176
