code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal
DE-BB	2900483	1538393	1451616
DE-BE	4698458	2451201	2320004
DE-BUND	368231	192406	183857
DE-BW	13745007	7182712	6882324
DE-BY	16096763	8422696	8036856
DE-HB	1001885	531462	503143
DE-HE	7985225	4222886	3941807
DE-HH	2479885	1311799	1241677
DE-MV	1993306	1048411	995563
DE-NI	10469863	5606518	5242545
DE-NW	24203009	12890817	11921350
DE-RP	5297792	2825826	2599887
DE-SH	3984694	2099002	1982671
DE-SL	1376646	724029	689324
DE-SN	4427926	2320138	2191154
DE-ST	2598315	1368770	1312358
DE-TH	2443294	1272914	1227725
