code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal	peopleBoosterTotal
DE-BB	3762045	1680405	1602810	589824
DE-BE	6279504	2717693	2627418	1059275
DE-BUND	444578	197993	188652	66054
DE-BW	17948450	7813149	7561123	3043248
DE-BY	21429738	9275995	8996620	3655235
DE-HB	1270480	581272	555405	180716
DE-HE	10193456	4580976	4333094	1526609
DE-HH	3165846	1447714	1404764	418510
DE-MV	2587977	1147998	1098704	406456
DE-NI	13572457	5993160	5730875	2277567
DE-NW	31511293	13761513	13108295	5441178
DE-RP	6854529	3033644	2839619	1146107
DE-SH	5095490	2234493	2166761	828546
DE-SL	1799440	778628	749330	319922
DE-SN	5720309	2521134	2402388	896845
DE-ST	3384874	1500419	1449257	542284
DE-TH	3206120	1413000	1359609	525477
