code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal
DE-BW	5341747	4084869	1272688
DE-BY	6457956	5057521	1403669
DE-BE	1727815	1258181	473362
DE-BB	1129240	821907	308203
DE-HB	361568	260933	102240
DE-HH	869413	674689	195832
DE-HE	3004509	2354954	649598
DE-MV	804440	634208	171433
DE-NI	3860375	3096227	778479
DE-NW	9009265	7103909	1911532
DE-RP	1998302	1460041	538261
DE-SL	531781	412544	119243
DE-SN	1940685	1319971	622073
DE-ST	1039470	788266	254430
DE-SH	1419044	1014994	404951
DE-TH	1052672	726944	325859
