code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal
DE-BW	12919661	6820085	6438687
DE-BY	15121988	8013335	7459884
DE-BE	4348083	2329193	2112189
DE-BB	2721569	1458123	1346046
DE-HB	930759	496637	466868
DE-HH	2248142	1230807	1081267
DE-HE	7350891	3981382	3555395
DE-MV	1878268	995962	929210
DE-NI	9684945	5304806	4716184
DE-NW	22360382	12081570	10912189
DE-RP	4930747	2661386	2393070
DE-SL	1276171	690128	621019
DE-SN	4156104	2191649	2047129
DE-ST	2430167	1298166	1214698
DE-SH	3679166	1987660	1799626
DE-TH	2313340	1217008	1151150
