code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal	peopleBoosterTotal
DE-BB	4718409	1758457	1750357	1322641
DE-BE	7762372	2852328	2830995	2209769
DE-BUND	531739	202079	195077	142728
DE-BW	22364615	8222297	8252361	6372299
DE-BY	26506178	9734794	9843468	7433538
DE-HB	1619575	615144	607972	444745
DE-HE	12879541	4836698	4704751	3590368
DE-HH	4105220	1543917	1543271	1126894
DE-MV	3259636	1198894	1201626	925291
DE-NI	17193228	6286487	6229643	5112284
DE-NW	38893823	14434646	14184591	11096025
DE-RP	8532923	3182387	3086243	2432021
DE-SH	6671561	2344247	2355046	2107435
DE-SL	2226562	811984	810732	653446
DE-SN	7146305	2655241	2623425	1969387
DE-ST	4258453	1571053	1600237	1195395
DE-TH	3992591	1489715	1492916	1104652
