code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal
DE-BB	2990625	1571436	1501527
DE-BE	4863179	2497104	2392331
DE-BUND	369910	193024	184774
DE-BW	14093932	7306698	7045072
DE-BY	16536633	8584319	8266010
DE-HB	1032931	542992	518947
DE-HE	8211426	4300470	4057797
DE-HH	2567738	1346798	1290636
DE-MV	2040950	1064771	1022352
DE-NI	10718293	5693594	5383341
DE-NW	24935903	13097862	12324069
DE-RP	5461535	2878463	2674858
DE-SH	4101551	2128731	2042945
DE-SL	1410239	736044	706865
DE-SN	4539626	2360779	2250561
DE-ST	2664602	1392246	1344956
DE-TH	2505430	1296211	1258252
