code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal
DE-BW	10842166	6371114	4727318
DE-BY	12621960	7444689	5452827
DE-BE	3598106	2121213	1553674
DE-BB	2283601	1362809	989425
DE-HB	748930	461719	310976
DE-HH	1802573	1089938	762086
DE-HE	6126485	3630629	2641805
DE-MV	1607211	927521	716575
DE-NI	7860313	4867552	3261982
DE-NW	18875239	11095260	8317142
DE-RP	4070440	2441830	1733093
DE-SL	1064064	624239	465325
DE-SN	3596737	2033162	1630263
DE-ST	2044647	1201147	905665
DE-SH	3020380	1804169	1299433
DE-TH	1983382	1143109	880486
