code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal
DE-BW	12522125	6702058	6134566
DE-BY	14488980	7871804	6947335
DE-BE	4138009	2264200	1961500
DE-BB	2625694	1424310	1277445
DE-HB	892641	485890	437162
DE-HH	2099171	1195324	961236
DE-HE	7078326	3904998	3348471
DE-MV	1805339	973782	875109
DE-NI	9266580	5214478	4368720
DE-NW	21264228	11787268	10080241
DE-RP	4747498	2606660	2257680
DE-SL	1224601	676773	579430
DE-SN	4049159	2148211	1979422
DE-ST	2348151	1270269	1153507
DE-SH	3518320	1936256	1682218
DE-TH	2261976	1195180	1115493
