code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal	peopleBoosterTotal
DE-BB	4872939	1720975	1629679	1396256
DE-BE	8209268	2889625	2754735	2302601
DE-BUND	535399	201947	189542	142685
DE-BW	23698652	8398190	7995756	6737644
DE-BY	27860109	9895474	9587949	7705629
DE-HB	1733362	619939	580114	449406
DE-HE	13752853	4926465	4570721	3791488
DE-HH	4482413	1604158	1498084	1215413
DE-MV	3452462	1217371	1160460	957893
DE-NI	18521510	6395456	5938748	5324968
DE-NW	41915467	14639201	13662643	11684832
DE-RP	9137402	3237159	2980277	2584873
DE-SH	7079262	2353795	2250108	2031862
DE-SL	2357763	822223	774450	676479
DE-SN	7359505	2676667	2551312	2015766
DE-ST	4504479	1618039	1533722	1247610
DE-TH	4141873	1506788	1429699	1129758
