code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal
DE-BB	2927943	1548656	1467448
DE-BE	4738469	2462403	2339028
DE-BUND	368865	192695	184134
DE-BW	13863825	7229054	6936763
DE-BY	16221908	8471931	8103177
DE-HB	1010725	534810	507742
DE-HE	8059091	4248163	3980859
DE-HH	2499306	1319308	1253157
DE-MV	2008894	1053845	1004354
DE-NI	10559003	5635896	5300895
DE-NW	24447361	12961731	12065406
DE-RP	5360142	2844772	2627024
DE-SH	4038777	2111898	2013869
DE-SL	1385330	727364	693931
DE-SN	4461801	2333963	2209082
DE-ST	2619599	1376624	1322585
DE-TH	2459430	1280266	1234871
