code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal	peopleBoosterTotal
DE-BB	4817399	1760652	1643787	1328383
DE-BE	8071800	2907970	2763491	2225050
DE-BUND	533747	201893	189431	141781
DE-BW	23069766	8343504	7930571	6393836
DE-BY	27255645	9844487	9521514	7439595
DE-HB	1690018	617318	576777	439023
DE-HE	13304929	4883530	4530268	3590869
DE-HH	4337039	1599721	1488143	1134693
DE-MV	3372303	1211925	1154676	928258
DE-NI	18009907	6365784	5898230	5142087
DE-NW	40738156	14615126	13601905	11152136
DE-RP	8844315	3210883	2956580	2442286
DE-SH	6929702	2352552	2247252	2118218
DE-SL	2306256	818731	770722	655174
DE-SN	7263662	2669121	2542927	1976133
DE-ST	4406814	1608769	1528721	1202679
DE-TH	4075013	1499442	1420992	1103420
