code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal	peopleBoosterTotal
DE-BB	4817539	1760660	1643796	1328411
DE-BE	8073925	2908138	2763795	2226460
DE-BUND	533747	201893	189431	141781
DE-BW	23071887	8343654	7930864	6394535
DE-BY	27258374	9844615	9521891	7440580
DE-HB	1690273	617332	576806	439083
DE-HE	13305901	4883577	4530393	3591063
DE-HH	4337242	1599737	1488156	1134736
DE-MV	3372440	1211928	1154679	928280
DE-NI	18011004	6365845	5898363	5142297
DE-NW	40743950	14615307	13602358	11153362
DE-RP	8844957	3210898	2956616	2442431
DE-SH	6931066	2352583	2247339	2118615
DE-SL	2306445	818739	770743	655243
DE-SN	7264330	2669198	2543034	1976527
DE-ST	4407024	1608779	1528756	1202769
DE-TH	4075350	1499491	1421042	1103543
