code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal	peopleBoosterTotal
DE-BB	4860140	1720596	1629135	1393598
DE-BE	8180027	2888654	2752840	2296059
DE-BUND	535056	201941	189518	142507
DE-BW	23633825	8395489	7992395	6726555
DE-BY	27768560	9893436	9584245	7690847
DE-HB	1724533	619738	579764	448188
DE-HE	13701918	4925085	4568558	3783872
DE-HH	4468071	1603531	1497049	1212582
DE-MV	3444157	1217149	1160082	956411
DE-NI	18449647	6394216	5936589	5316363
DE-NW	41781569	14636627	13658702	11667228
DE-RP	9108191	3236435	2979335	2580975
DE-SH	7052042	2353402	2249571	2029152
DE-SL	2349963	822115	774208	675565
DE-SN	7344502	2676099	2550355	2011944
DE-ST	4491033	1617737	1533091	1244431
DE-TH	4132052	1506438	1429175	1127105
