code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal
DE-BB	2959292	1559721	1485313
DE-BE	4801528	2478762	2366464
DE-BUND	369499	192865	184553
DE-BW	13974193	7268999	6985620
DE-BY	16393472	8534279	8193876
DE-HB	1021142	538608	513380
DE-HE	8148231	4280969	4024662
DE-HH	2540484	1336145	1275978
DE-MV	2030659	1060917	1016926
DE-NI	10650644	5671212	5349683
DE-NW	24730708	13046679	12217713
DE-RP	5421061	2866036	2656144
DE-SH	4076470	2121842	2032413
DE-SL	1399589	732344	701697
DE-SN	4504563	2349371	2232083
DE-ST	2645214	1385772	1335412
DE-TH	2482612	1288713	1246846
