code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal	peopleBoosterTotal
DE-BB	4851876	1720360	1628679	1391517
DE-BE	8159476	2887783	2751633	2290773
DE-BUND	534814	201933	189507	142378
DE-BW	23595185	8392459	7988886	6718567
DE-BY	27723894	9891963	9581803	7681260
DE-HB	1719339	619588	579487	447360
DE-HE	13671525	4922973	4566844	3778090
DE-HH	4454414	1602343	1495693	1208846
DE-MV	3437995	1216918	1159715	955114
DE-NI	18403036	6393248	5934863	5309421
DE-NW	41683091	14634112	13654962	11652327
DE-RP	9091265	3235945	2978685	2577981
DE-SH	7033479	2353065	2248587	2026343
DE-SL	2345970	822007	774039	674901
DE-SN	7334246	2675578	2549393	2008626
DE-ST	4481596	1617310	1532429	1241586
DE-TH	4126481	1506147	1428775	1125538
