code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal	peopleBoosterTotal
DE-BB	4519907	1742059	1706313	1184152
DE-BE	7447688	2820401	2761180	1996052
DE-BUND	521007	201299	193555	134293
DE-BW	21618295	8143907	8051289	5902800
DE-BY	25498068	9645260	9600220	6757187
DE-HB	1555844	607632	591138	405121
DE-HE	12318696	4783437	4575310	3211648
DE-HH	3827773	1504621	1474286	956767
DE-MV	3116861	1186282	1169820	826678
DE-NI	16441193	6213119	6049622	4612035
DE-NW	37262665	14283348	13829447	9966272
DE-RP	8192985	3147332	3002153	2210482
DE-SH	6252643	2319894	2289290	1778241
DE-SL	2148766	805473	790805	601790
DE-SN	6816380	2626595	2549356	1741839
DE-ST	4032536	1552419	1549834	1038320
DE-TH	3820464	1472734	1449682	992249
