code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal	peopleBoosterTotal
DE-BB	3542600	1659040	1586304	406624
DE-BE	5888038	2669920	2562630	778064
DE-BUND	408953	196298	187880	32893
DE-BW	16726694	7724414	7473582	1991804
DE-BY	20149698	9171146	8874053	2597261
DE-HB	1200253	572061	549411	125047
DE-HE	9576592	4529429	4288096	1003440
DE-HH	3016755	1436324	1392529	291282
DE-MV	2435526	1134156	1086813	279216
DE-NI	12651162	5939426	5674812	1461872
DE-NW	29488953	13639669	12985596	3656573
DE-RP	6409385	3004425	2814979	752927
DE-SH	4840649	2217843	2150452	606343
DE-SL	1681257	771626	742715	214776
DE-SN	5368656	2487599	2378010	602374
DE-ST	3189663	1484140	1432480	379204
DE-TH	3019136	1390911	1342490	375664
