code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal	peopleBoosterTotal
DE-BB	4827485	1761020	1644542	1331265
DE-BE	8094239	2908972	2765296	2233678
DE-BUND	533866	201894	189445	141848
DE-BW	23103050	8344931	7932842	6400916
DE-BY	27299391	9845703	9524762	7451723
DE-HB	1693956	617455	576999	439861
DE-HE	13335986	4884324	4531873	3595702
DE-HH	4347984	1599964	1488845	1137333
DE-MV	3382040	1212096	1155120	929872
DE-NI	18055232	6366737	5900302	5150188
DE-NW	40850661	14618179	13607533	11170706
DE-RP	8864552	3211342	2957410	2446295
DE-SH	6948537	2352907	2248023	2121831
DE-SL	2310797	818822	770946	656188
DE-SN	7274939	2669664	2543978	1980622
DE-ST	4415490	1608968	1529205	1205496
DE-TH	4080934	1499607	1421498	1105791
