code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal
DE-BB	3341374	1633342	1571178
DE-BE	5590130	2637955	2535897
DE-BUND	386804	194699	186989
DE-BW	15789444	7631369	7404126
DE-BY	18983000	9056725	8772127
DE-HB	1153462	564270	545184
DE-HE	9126361	4480341	4253171
DE-HH	2888679	1418615	1378002
DE-MV	2304511	1118218	1078098
DE-NI	11979784	5880487	5628162
DE-NW	27795773	13477113	12853617
DE-RP	6064102	2971051	2794346
DE-SH	4524318	2192930	2117014
DE-SL	1583479	763514	737221
DE-SN	5086687	2457209	2358050
DE-ST	3001938	1459577	1417087
DE-TH	2869017	1368159	1328026
