code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal
DE-BB	3243852	1618953	1562833
DE-BE	5414568	2608371	2519191
DE-BUND	378402	194231	186621
DE-BW	15227190	7541915	7351867
DE-BY	18288328	8961294	8707109
DE-HB	1128215	559920	542317
DE-HE	8877444	4437624	4229136
DE-HH	2815734	1403433	1366519
DE-MV	2231993	1104071	1070939
DE-NI	11633018	5833373	5596129
DE-NW	26991634	13418265	12816129
DE-RP	5878821	2947336	2779480
DE-SH	4420659	2180865	2109260
DE-SL	1536757	757338	733688
DE-SN	4923182	2435387	2344793
DE-ST	2901947	1440165	1407081
DE-TH	2781211	1348748	1316124
