code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal
DE-BB	3018012	1580315	1514603
DE-BE	4942623	2519229	2421125
DE-BUND	370844	193360	185187
DE-BW	14267213	7353200	7129316
DE-BY	16787586	8659725	8380231
DE-HB	1049027	548316	526336
DE-HE	8302785	4327598	4100339
DE-HH	2607830	1360041	1309650
DE-MV	2071245	1074005	1037711
DE-NI	10848006	5726805	5440249
DE-NW	25222481	13171812	12456424
DE-RP	5523721	2895556	2702272
DE-SH	4149459	2139448	2061460
DE-SL	1428445	741359	714838
DE-SN	4599167	2378632	2280453
DE-ST	2700645	1402452	1362719
DE-TH	2543351	1307757	1274402
