code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal
DE-BB	3008414	1577475	1510093
DE-BE	4913146	2510306	2410886
DE-BUND	370396	193207	185018
DE-BW	14204907	7337239	7100216
DE-BY	16704230	8636155	8345161
DE-HB	1043822	546712	524064
DE-HE	8270296	4318480	4085451
DE-HH	2591371	1355331	1301745
DE-MV	2061185	1071058	1033250
DE-NI	10805402	5717039	5423782
DE-NW	25118524	13145988	12409258
DE-RP	5499893	2888731	2691743
DE-SH	4128826	2135356	2053377
DE-SL	1423214	739885	712696
DE-SN	4583393	2373684	2273323
DE-ST	2687895	1399182	1356528
DE-TH	2531192	1304327	1269825
