code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal	peopleBoosterTotal
DE-BB	4700959	1757131	1747077	1309785
DE-BE	7719172	2845539	2822761	2181511
DE-BUND	530883	202013	194971	142043
DE-BW	22290326	8211847	8233547	6327134
DE-BY	26415840	9726657	9823498	7371226
DE-HB	1612386	614399	606473	439799
DE-HE	12824840	4831217	4694293	3551563
DE-HH	4078471	1539622	1538362	1109286
DE-MV	3243589	1197575	1198545	913622
DE-NI	17131008	6280462	6216687	5068976
DE-NW	38745253	14419221	14156529	10990569
DE-RP	8503455	3179417	3080917	2410786
DE-SH	6651036	2342608	2351260	2092317
DE-SL	2219844	811436	809470	648535
DE-SN	7113900	2652629	2616992	1945989
DE-ST	4238999	1569627	1596223	1181365
DE-TH	3978381	1488472	1489764	1094797
