code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal	peopleBoosterTotal
DE-BB	4699529	1757021	1746790	1308752
DE-BE	7715554	2845212	2822191	2178788
DE-BUND	530800	202003	194958	141983
DE-BW	22284308	8211288	8232241	6322963
DE-BY	26408714	9725944	9822023	7366283
DE-HB	1611598	614330	606339	439212
DE-HE	12820359	4830724	4693520	3548348
DE-HH	4076261	1539425	1537985	1107644
DE-MV	3242012	1197386	1198149	912622
DE-NI	17124448	6279828	6215213	5064514
DE-NW	38734005	14418084	14154407	10982519
DE-RP	8500754	3179121	3080446	2408851
DE-SH	6647622	2342371	2350555	2089845
DE-SL	2219271	811376	809360	648132
DE-SN	7110659	2652376	2616366	1943625
DE-ST	4237209	1569461	1595792	1180172
DE-TH	3976924	1488300	1489459	1093817
