code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal	peopleBoosterTotal
DE-BB	4809724	1760450	1643420	1326428
DE-BE	8059940	2907392	2762443	2222255
DE-BUND	533529	201886	189402	141617
DE-BW	23044360	8342627	7928929	6388352
DE-BY	27224664	9843706	9519429	7431448
DE-HB	1686716	617236	576564	438357
DE-HE	13282468	4883008	4529225	3587383
DE-HH	4328358	1598944	1487073	1133020
DE-MV	3364712	1211837	1154428	927122
DE-NI	17976658	6365049	5896493	5136357
DE-NW	40659623	14613939	13598768	11140412
DE-RP	8829696	3210593	2955960	2439924
DE-SH	6864828	2351715	2245222	2107354
DE-SL	2302746	818672	770593	654528
DE-SN	7256010	2668858	2542373	1973250
DE-ST	4400226	1608617	1528327	1200607
DE-TH	4070976	1499308	1420712	1102062
