code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal
DE-BB	2780868	1485536	1381954
DE-BE	4455907	2370215	2182490
DE-BUND	358111	187059	176277
DE-BW	13131064	6914399	6572496
DE-BY	15396787	8117668	7647623
DE-HB	948898	507164	476583
DE-HE	7537630	4053171	3678906
DE-HH	2336520	1257764	1147426
DE-MV	1914700	1013567	950936
DE-NI	9937301	5384147	4903311
DE-NW	22964074	12365382	11264016
DE-RP	5034594	2705909	2457837
DE-SH	3769449	2026262	1856225
DE-SL	1309025	700345	645425
DE-SN	4222400	2222077	2085478
DE-ST	2479851	1318044	1248265
DE-TH	2349670	1232947	1175029
