code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal	peopleBoosterTotal
DE-BB	4861927	1720650	1629206	1394105
DE-BE	8184923	2888942	2753801	2297615
DE-BUND	535110	201941	189523	142546
DE-BW	23639111	8395701	7992665	6727451
DE-BY	27775947	9893631	9584553	7692075
DE-HB	1725342	619744	579797	448287
DE-HE	13706369	4925166	4568691	3784503
DE-HH	4469381	1603558	1497096	1212810
DE-MV	3445178	1217173	1160125	956632
DE-NI	18457165	6394389	5936821	5317463
DE-NW	41798012	14636946	13659206	11669557
DE-RP	9110884	3236487	2979422	2581423
DE-SH	7055118	2353452	2249646	2029476
DE-SL	2350620	822124	774222	675660
DE-SN	7346240	2676160	2550477	2012416
DE-ST	4492718	1617792	1533186	1244892
DE-TH	4132969	1506463	1429209	1127357
