code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal	peopleBoosterTotal
DE-BB	4402287	1731743	1686036	1096961
DE-BE	7225598	2800560	2715622	1836911
DE-BUND	511340	201019	192669	125793
DE-BW	21107798	8093339	7948100	5544651
DE-BY	24830641	9585973	9475341	6273127
DE-HB	1512711	603548	583359	373724
DE-HE	11952113	4746204	4519712	2937592
DE-HH	3714031	1493683	1456635	871268
DE-MV	3031857	1179090	1156678	761878
DE-NI	16033963	6168014	5976402	4322360
DE-NW	36363277	14202679	13666073	9308264
DE-RP	8011790	3126798	2967796	2084038
DE-SH	6054985	2302201	2262327	1625131
DE-SL	2104710	801404	781151	571334
DE-SN	6636138	2609879	2521027	1606477
DE-ST	3914227	1542647	1529998	949531
DE-TH	3724373	1464134	1430742	923509
