code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal
DE-BB	2894574	1536102	1448303
DE-BE	4686813	2448178	2314682
DE-BUND	368174	192394	183812
DE-BW	13716966	7172083	6870461
DE-BY	16064816	8409980	8021510
DE-HB	999538	530608	502073
DE-HE	7966468	4216590	3932396
DE-HH	2474670	1310116	1238319
DE-MV	1988731	1047107	993092
DE-NI	10444053	5597472	5226063
DE-NW	24143438	12872727	11887559
DE-RP	5286307	2821451	2594028
DE-SH	3976017	2096772	1977930
DE-SL	1373483	722758	687639
DE-SN	4419311	2316486	2186861
DE-ST	2591399	1366091	1308738
DE-TH	2439518	1271595	1225769
