code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal
DE-BW	6955445	4879221	2167247
DE-BY	8303450	5767199	2628097
DE-BE	2303680	1615563	715162
DE-BB	1531056	1037168	517977
DE-HB	477325	327726	160402
DE-HH	1131554	786724	360335
DE-HE	3901007	2823469	1117994
DE-MV	1070158	744321	338224
DE-NI	5020247	3643169	1480132
DE-NW	12013075	8575961	3602419
DE-RP	2607027	1772509	861899
DE-SL	704577	476244	235120
DE-SN	2538486	1630599	936668
DE-ST	1367182	952345	438536
DE-SH	1949305	1336296	641547
DE-TH	1366124	922870	456435
