code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal
DE-BB	2855194	1519351	1428228
DE-BE	4609124	2425210	2285992
DE-BUND	367442	192087	183465
DE-BW	13513770	7088065	6810368
DE-BY	15847813	8319682	7929760
DE-HB	980602	523482	495303
DE-HE	7841819	4170799	3880511
DE-HH	2437765	1295263	1218018
DE-MV	1961739	1036290	979155
DE-NI	10297188	5542391	5130989
DE-NW	23733284	12725304	11710757
DE-RP	5205829	2788726	2555079
DE-SH	3900559	2076411	1945192
DE-SL	1356507	715978	680039
DE-SN	4356540	2286618	2159039
DE-ST	2554025	1350591	1295482
DE-TH	2411096	1258979	1217538
