code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal	peopleBoosterTotal
DE-BB	4719050	1758508	1750469	1323123
DE-BE	7763681	2852438	2831310	2210661
DE-BUND	531769	202083	195083	142748
DE-BW	22366315	8222595	8252795	6373269
DE-BY	26508520	9735011	9844044	7435090
DE-HB	1619743	615156	608014	444859
DE-HE	12881226	4836923	4705177	3591402
DE-HH	4106699	1544350	1543737	1127480
DE-MV	3260040	1198924	1201712	925580
DE-NI	17195485	6286743	6230220	5113719
DE-NW	38899871	14435292	14186039	11099980
DE-RP	8533926	3182472	3086476	2432707
DE-SH	6671584	2344249	2355051	2107451
DE-SL	2227042	812015	810776	653851
DE-SN	7147347	2655330	2623655	1970113
DE-ST	4259056	1571080	1600357	1195851
DE-TH	3992923	1489737	1493010	1104878
