code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal
DE-BB	3127927	1603439	1548868
DE-BE	5181279	2565588	2484966
DE-BUND	373387	193916	186237
DE-BW	14705519	7454328	7274099
DE-BY	17477101	8819606	8592609
DE-HB	1091734	554958	538068
DE-HE	8595465	4387404	4189257
DE-HH	2724798	1387654	1349891
DE-MV	2146464	1090466	1059461
DE-NI	11247679	5787112	5548325
DE-NW	26094364	13317054	12708879
DE-RP	5704244	2926409	2756643
DE-SH	4300123	2165382	2096596
DE-SL	1476839	749401	727535
DE-SN	4770940	2413537	2328025
DE-ST	2790988	1421887	1391543
DE-TH	2661791	1329123	1301028
