code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal
DE-BB	3136388	1604639	1550274
DE-BE	5201142	2569763	2488735
DE-BUND	373704	193952	186270
DE-BW	14752654	7462819	7284187
DE-BY	17549338	8835188	8606291
DE-HB	1094995	555327	538665
DE-HE	8620508	4392492	4194025
DE-HH	2733421	1388884	1351706
DE-MV	2155686	1092297	1061321
DE-NI	11285029	5792359	5554174
DE-NW	26129264	13321363	12714633
DE-RP	5719979	2928391	2759212
DE-SH	4310359	2166456	2098076
DE-SL	1481795	749930	728282
DE-SN	4784928	2415676	2330057
DE-ST	2799011	1423269	1393091
DE-TH	2672035	1330395	1302196
