code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal	peopleBoosterTotal
DE-BB	4839697	1761440	1645355	1334646
DE-BE	8116165	2909601	2766716	2239443
DE-BUND	534185	201911	189471	142069
DE-BW	23146479	8346851	7936521	6410217
DE-BY	27355450	9847285	9529013	7466754
DE-HB	1699466	617606	577377	440992
DE-HE	13374274	4885406	4533917	3602813
DE-HH	4359695	1600332	1489557	1140103
DE-MV	3393992	1212392	1155705	932109
DE-NI	18113198	6368064	5903207	5160503
DE-NW	41003549	14623807	13616908	11203263
DE-RP	8922488	3216835	2962437	2471948
DE-SH	6972505	2353373	2248996	2127147
DE-SL	2316313	818933	771254	657431
DE-SN	7289339	2670381	2545398	1986019
DE-ST	4425960	1609229	1529825	1208791
DE-TH	4088489	1499668	1422229	1108488
