code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal	peopleBoosterTotal
DE-BB	3508427	1655444	1583657	378381
DE-BE	5843286	2665300	2557838	742431
DE-BUND	402942	196111	187786	27163
DE-BW	16588251	7713055	7462985	1874326
DE-BY	19974777	9157188	8859644	2449877
DE-HB	1192850	570768	548735	119525
DE-HE	9497692	4521348	4281890	938317
DE-HH	2999593	1434681	1391010	276976
DE-MV	2413467	1132304	1085587	260151
DE-NI	12535090	5931925	5667646	1359607
DE-NW	29224748	13621626	12969471	3425305
DE-RP	6355211	3000929	2812082	704998
DE-SH	4770948	2211790	2145279	547650
DE-SL	1666704	770592	741808	202040
DE-SN	5323049	2483621	2374901	563740
DE-ST	3145026	1477429	1428498	344998
DE-TH	2993317	1387875	1340619	354541
