code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal
DE-BB	3038936	1587504	1524284
DE-BE	4981962	2527885	2434253
DE-BUND	371224	193474	185352
DE-BW	14360676	7377551	7170215
DE-BY	16929828	8697772	8439244
DE-HB	1055787	550019	528911
DE-HE	8349023	4340488	4119723
DE-HH	2635156	1368291	1322076
DE-MV	2085920	1078258	1043664
DE-NI	10906997	5739533	5461200
DE-NW	25372806	13203568	12516995
DE-RP	5556230	2902859	2716387
DE-SH	4178799	2145963	2071598
DE-SL	1436373	743435	717792
DE-SN	4622569	2385677	2290661
DE-ST	2715275	1406645	1369326
DE-TH	2561568	1313276	1280820
