code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal
DE-BW	9298835	5823202	3687801
DE-BY	10778124	6566117	4439808
DE-BE	3080046	1951012	1196317
DE-BB	2026747	1290078	796866
DE-HB	621280	408773	231086
DE-HH	1493201	927113	607500
DE-HE	5195510	3281021	2029120
DE-MV	1416388	864000	584224
DE-NI	6749916	4315096	2674186
DE-NW	15937714	9876884	6530475
DE-RP	3451564	2195706	1343129
DE-SL	934790	554847	401722
DE-SN	3207347	1910371	1355770
DE-ST	1785201	1110769	729811
DE-SH	2589830	1647254	1007848
DE-TH	1725825	1075288	680673
