code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal	peopleBoosterTotal
DE-BB	4856234	1720473	1628916	1392582
DE-BE	8170026	2888276	2752340	2293200
DE-BUND	534951	201940	189514	142454
DE-BW	23613114	8393342	7990147	6721961
DE-BY	27747030	9892773	9583012	7686273
DE-HB	1721838	619646	579587	447750
DE-HE	13686170	4923392	4567458	3780931
DE-HH	4461904	1603339	1496688	1211020
DE-MV	3441788	1217018	1159907	955956
DE-NI	18428785	6393781	5935835	5313418
DE-NW	41738434	14635292	13656834	11660960
DE-RP	9100808	3236233	2979097	2579699
DE-SH	7043302	2353250	2248930	2027679
DE-SL	2348011	822067	774124	675231
DE-SN	7339065	2675751	2549711	2010200
DE-ST	4486622	1617424	1532689	1243163
DE-TH	4129386	1506286	1428966	1126436
