code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal	peopleBoosterTotal
DE-BB	4849817	1761804	1646165	1337724
DE-BE	8140089	2910573	2768521	2247509
DE-BUND	534531	201923	189491	142246
DE-BW	23183152	8349264	7940102	6419075
DE-BY	27399974	9848867	9532832	7479736
DE-HB	1705360	617830	577714	442193
DE-HE	13408567	4886580	4535908	3609323
DE-HH	4372327	1600859	1490588	1142969
DE-MV	3402874	1212645	1156283	934432
DE-NI	18160943	6369626	5905977	5168971
DE-NW	41125042	14626756	13622996	11225961
DE-RP	8945208	3217669	2963678	2477604
DE-SH	6993181	2353887	2250066	2130951
DE-SL	2320578	819058	771525	658400
DE-SN	7301779	2671119	2546691	1990709
DE-ST	4435731	1609583	1530638	1212011
DE-TH	4094077	1499926	1422717	1110656
