code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal
DE-BB	3013736	1579045	1512577
DE-BE	4932672	2516861	2417859
DE-BUND	370707	193297	185132
DE-BW	14240237	7346587	7117001
DE-BY	16754229	8650762	8366802
DE-HB	1047189	547768	525483
DE-HE	8289219	4324235	4094325
DE-HH	2600434	1357925	1305780
DE-MV	2066922	1072871	1035869
DE-NI	10828546	5722465	5432592
DE-NW	25177517	13161233	12436799
DE-RP	5509732	2890912	2696137
DE-SH	4138937	2137673	2057373
DE-SL	1426459	740870	714081
DE-SN	4592764	2376798	2277738
DE-ST	2695407	1401105	1360342
DE-TH	2538336	1306385	1272594
