code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal
DE-BW	10684116	6335798	4600134
DE-BY	12472953	7389113	5353565
DE-BE	3526568	2103433	1499569
DE-BB	2260724	1359576	969240
DE-HB	735132	458801	299872
DE-HH	1771602	1070010	750485
DE-HE	6030765	3601660	2570897
DE-MV	1596422	924425	708548
DE-NI	7767873	4831742	3201612
DE-NW	18599183	10972209	8157842
DE-RP	4015628	2427549	1690331
DE-SL	1051693	616956	460029
DE-SN	3559838	2018551	1607309
DE-ST	2023553	1195771	889136
DE-SH	2980847	1792142	1269438
DE-TH	1956136	1140223	855183
