code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal	peopleBoosterTotal
DE-BB	4088767	1708234	1638604	853967
DE-BE	6747731	2764513	2639840	1469727
DE-BUND	480378	200208	190172	98137
DE-BW	19897580	7988160	7752792	4632092
DE-BY	23400647	9467437	9232733	5202714
DE-HB	1399732	594524	567204	285454
DE-HE	11139339	4670655	4419078	2299530
DE-HH	3431222	1472220	1429142	636449
DE-MV	2811240	1163921	1125694	587175
DE-NI	14994908	6085201	5838486	3502758
DE-NW	34206068	14015759	13340852	7654366
DE-RP	7493950	3081343	2893200	1685230
DE-SH	5582377	2272349	2205348	1239228
DE-SL	1972341	790920	763060	467219
DE-SN	6204379	2570974	2459750	1274465
DE-ST	3655147	1523054	1487124	752641
DE-TH	3477620	1444205	1391916	734928
