code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal
DE-BW	9867022	6058632	4038941
DE-BY	11513680	6904342	4856059
DE-BE	3243971	2010252	1304685
DE-BB	2107773	1320038	851317
DE-HB	662265	430111	252802
DE-HH	1602540	984009	663389
DE-HE	5514756	3406136	2233615
DE-MV	1478325	886374	625636
DE-NI	7136291	4520049	2868149
DE-NW	17035584	10330438	7207619
DE-RP	3664596	2293143	1465583
DE-SL	980528	577965	426111
DE-SN	3382361	1972029	1471855
DE-ST	1871724	1145660	783633
DE-SH	2734952	1706006	1097346
DE-TH	1817695	1106805	742940
