code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal
DE-BB	2864071	1523261	1430228
DE-BE	4627548	2431536	2287277
DE-BUND	367584	192152	183481
DE-BW	13534912	7097073	6781824
DE-BY	15901546	8342378	7933506
DE-HB	982026	524192	493127
DE-HE	7868560	4181187	3878587
DE-HH	2448624	1300032	1222206
DE-MV	1968577	1039064	981597
DE-NI	10334295	5557267	5150239
DE-NW	23838205	12771778	11704861
DE-RP	5224504	2797086	2559360
DE-SH	3917087	2080862	1941568
DE-SL	1361509	717820	681187
DE-SN	4372430	2294362	2163617
DE-ST	2563248	1354394	1294131
DE-TH	2418087	1261531	1216188
